R_Peak_22,R_Trough_22,R_Peak_24,R_Trough_24,R_Peak_25,R_Trough_25,R_Peak_26,R_Trough_26,R_Peak_27,R_Trough_27,R_Peak_28,R_Trough_28,R_Peak_29,R_Trough_29,R_Peak_30,R_Trough_30,R_Peak_31,R_Trough_31,R_Peak_32,R_Trough_32,R_Peak_33,R_Trough_33,D_Peak_33,D_Trough_33,D_Peak_34,D_Trough_34,D_Peak_35,D_Trough_35,D_Peak_36,D_Trough_36,D_Peak_37,D_Trough_37,D_Peak_38,D_Trough_38,D_Peak_39,D_Trough_39,D_Peak_41,D_Trough_41,D_Peak_42,D_Trough_42,D_Peak_43,D_Trough_43,D_Peak_44,D_Trough_44,D_Peak_45,D_Trough_45,D_Peak_46,D_Trough_46,D_Peak_47,D_Trough_47,D_Peak_48,D_Trough_48,D_Peak_49,D_Trough_49,Fre_22,Fre_24,Fre_25,Fre_26,Fre_27,Fre_28,Fre_29,Fre_30,Fre_31,Fre_32,Fre_33,Fre_34,Fre_35,Fre_36,Fre_37,Fre_38,Fre_39,Fre_41,Fre_42,Fre_43,Fre_44,Fre_45,Fre_46,Fre_47,Fre_48,Fre_49,epsilon1,delta1
0.66523032,-0.3467116,0.70407447,-0.4045771,0.78107682,-0.421343,0.68625843,-0.3578158,0.72455006,-0.4099381,0.79209734,-0.4485618,0.72590736,-0.3509519,0.77964618,-0.425562,0.75327943,-0.430662,0.97117131,-0.5683593,1,-0.4702182,1,0.22783454,0.98626387,0.22387514,0.98107179,0.22195088,0.97221586,0.21863405,0.98341189,0.21588999,0.8409382,0.18878852,0.82735207,0.18546723,0.79523872,0.17700783,0.77875159,0.17305041,0.76659071,0.16906922,0.75228676,0.16551873,0.74000755,0.16161081,0.72716944,0.15842616,0.71465212,0.15468557,0.70354041,0.1517222,0.69085164,0.1482222,0.946974077,0.900758793,0.908647358,0.827964373,0.858781094,0.891799802,0.794512233,0.828878602,0.864964369,0.896663296,0.99716065,0.87020899,1,0.79221831,0.9961993,0.77169513,0.75572357,0.73170245,0.72539083,0.71961796,0.71328264,0.70495942,0.69547513,0.6881604,0.67953039,0.67269651,0.118390779,-0.076004747
0.66587058,-0.3472138,0.70474986,-0.4048226,0.78198736,-0.4220421,0.6867223,-0.3582571,0.72540121,-0.4109532,0.79295592,-0.4497144,0.72653933,-0.3518743,0.78020813,-0.4268298,0.75316261,-0.4315052,0.97119896,-0.569596,1,-0.4704308,1,0.22785639,0.98594551,0.22380694,0.98034787,0.22177899,0.97105825,0.21835288,0.9817911,0.21552238,0.83928505,0.18835458,0.82553307,0.18498441,0.79354692,0.17653201,0.77719664,0.17260535,0.76498888,0.16862422,0.75077397,0.16510057,0.73843897,0.16119074,0.72567719,0.15802901,0.71310058,0.1543093,0.70197931,0.15134116,0.68930641,0.14785959,0.947327638,0.900980557,0.908850218,0.827987041,0.858856491,0.892038815,0.794639816,0.829071333,0.865243498,0.89666064,0.99748448,0.87029722,1,0.79260222,0.99579885,0.7712566,0.75532752,0.73154659,0.7251078,0.71908696,0.7125578,0.70420748,0.69491155,0.68775496,0.67919508,0.67232147,0.124169129,-0.059608785
0.66720963,-0.3479268,0.70612542,-0.4050444,0.78387981,-0.4231968,0.6876999,-0.3588519,0.72694176,-0.4128065,0.79466733,-0.451835,0.72757449,-0.3535092,0.78119019,-0.4290858,0.75279651,-0.432876,0.97127029,-0.5715492,1,-0.4699125,1,0.22789815,0.98529589,0.22367603,0.97885179,0.22144712,0.96866147,0.21781677,0.97847543,0.21481038,0.83592235,0.18748796,0.82203829,0.18407848,0.79116377,0.17585016,0.77540586,0.1720762,0.76349222,0.16820122,0.7496567,0.16480016,0.73756875,0.16098262,0.72510247,0.15791632,0.71276098,0.15427904,0.70173514,0.15138506,0.68943931,0.14796865,0.948140188,0.901527794,0.909320303,0.82804453,0.859033326,0.892591997,0.794791252,0.829453846,0.865889917,0.89651971,0.99847786,0.87047591,1,0.79326133,0.99449218,0.77022681,0.7545027,0.73205535,0.72568368,0.71941061,0.71263497,0.70434945,0.69570389,0.68901366,0.68071301,0.6738576,0.164911547,-0.026827761
0.66734224,-0.3478748,0.70622038,-0.4049617,0.78400232,-0.4232512,0.68765688,-0.358856,0.72695424,-0.4130232,0.79470706,-0.4520388,0.7274747,-0.3536242,0.78108652,-0.4291913,0.75253121,-0.4327082,0.9711229,-0.5712727,1,-0.4692642,1,0.22790273,0.98519454,0.22366022,0.97861312,0.22140847,0.96827747,0.21775725,0.97795448,0.21472851,0.83538237,0.18738616,0.8214985,0.18398056,0.79088724,0.17580059,0.7752513,0.1720528,0.76342703,0.16820002,0.74966895,0.16481918,0.73765452,0.16102137,0.72524689,0.15797084,0.71297495,0.15434686,0.7019803,0.15146965,0.68976964,0.14806405,0.948321287,0.90166146,0.909434452,0.828075431,0.859099531,0.892747272,0.794777688,0.829520408,0.866018168,0.896433584,0.99878791,0.87050456,1,0.79311477,0.99394195,0.7698461,0.75419533,0.73232519,0.72615412,0.71996371,0.71314411,0.70480263,0.69617141,0.68949441,0.68125637,0.67444187,0.192938597,-0.022428732
0.66796606,-0.3486567,0.706967,-0.4053303,0.78508879,-0.4240366,0.68848627,-0.3592745,0.72811659,-0.4138844,0.79586492,-0.4531024,0.72854793,-0.3547418,0.78212411,-0.4307925,0.75292794,-0.4344267,0.97155421,-0.5740469,1,-0.4716053,1,0.22792565,0.98492445,0.22359055,0.97800353,0.22122612,0.96730667,0.21747544,0.97657517,0.21433344,0.83400104,0.18692366,0.81992891,0.18344983,0.78911018,0.17521793,0.77348141,0.17147963,0.76146763,0.1675972,0.74772534,0.16422837,0.73553821,0.16040289,0.72315842,0.15736441,0.7107187,0.15375289,0.69967827,0.15084714,0.68737658,0.14745404,0.948430252,0.901677516,0.909457109,0.827998658,0.859015595,0.89270764,0.794957969,0.829637541,0.866148768,0.896644619,0.99866575,0.87072513,1,0.79399832,0.99460009,0.77017729,0.7544027,0.73160813,0.72484286,0.71813643,0.71115921,0.7029137,0.69455451,0.68814099,0.67991688,0.67301753,0.13507271,-0.006099844
0.66639641,-0.3474187,0.70533401,-0.4050636,0.78276839,-0.4224054,0.68724339,-0.3584798,0.72599019,-0.4113682,0.79373387,-0.4502702,0.72703759,-0.3521623,0.78074437,-0.4273107,0.75342453,-0.4319835,0.97153184,-0.5701225,1,-0.4700951,1,0.22786025,0.98588579,0.22379388,0.98021228,0.22174559,0.97084077,0.21829762,0.98151196,0.21545022,0.8390618,0.18824075,0.82546944,0.18491507,0.79436739,0.17671599,0.7783569,0.17291599,0.76654794,0.16907143,0.75253721,0.16564327,0.74058368,0.16185614,0.72795877,0.15876267,0.71575917,0.15509635,0.70471223,0.1522341,0.69243536,0.14878861,0.947438054,0.901077794,0.908914662,0.827993703,0.858864427,0.89208182,0.7946218,0.829112583,0.865378158,0.896574149,0.99773202,0.87032942,1,0.793211,0.99582815,0.7714622,0.75560008,0.73160901,0.72499719,0.71895837,0.71269488,0.70478791,0.6963213,0.68960377,0.68107088,0.67413867,0.12276643,-0.056430132
0.66715315,-0.3475966,0.70606946,-0.4047703,0.7838423,-0.4228233,0.68765798,-0.358491,0.72683599,-0.4123689,0.794654,-0.451453,0.72750825,-0.3530863,0.78117351,-0.428749,0.75286357,-0.4326982,0.97134653,-0.5713116,1,-0.4695496,1,0.22789533,0.98533767,0.22368366,0.97894861,0.22146715,0.96881685,0.21784775,0.978703,0.21485328,0.83615514,0.18752575,0.8224005,0.18414453,0.791976,0.17600446,0.77638765,0.17226819,0.76467323,0.16843535,0.75095623,0.16506404,0.73905215,0.16128468,0.72667961,0.15824218,0.71451853,0.15462377,0.70357805,0.15176548,0.69145515,0.14836396,0.948139878,0.90155549,0.909326153,0.828065992,0.859039857,0.89257841,0.794776866,0.829454993,0.865901305,0.896528621,0.99835474,0.87035945,1,0.79328253,0.99461638,0.77043449,0.75484293,0.73292308,0.72672224,0.72049139,0.7136688,0.70533779,0.69670588,0.69017593,0.68206229,0.67535961,0.160284309,-0.028878422
0.66655688,-0.347808,0.70545095,-0.405134,0.78291543,-0.4228759,0.68722166,-0.3588227,0.7262216,-0.4121825,0.79378078,-0.4510337,0.72708603,-0.3529374,0.78068397,-0.428167,0.75292055,-0.4322716,0.97115454,-0.570652,1,-0.4703486,1,0.22787858,0.98559734,0.22373708,0.97954602,0.22160195,0.96977358,0.21806356,0.98000206,0.21514361,0.83746444,0.18790597,0.82353911,0.18449136,0.79172274,0.17606823,0.77552365,0.17218223,0.76329226,0.16821304,0.74916789,0.16472268,0.73679637,0.16082232,0.72410498,0.15768648,0.71148786,0.15399013,0.70034738,0.15102562,0.68771038,0.14756298,0.947734121,0.901235571,0.909084734,0.828008776,0.85894956,0.892332097,0.794732612,0.829264848,0.865553299,0.896593955,0.998043,0.87045039,1,0.79287718,0.99504282,0.77057581,0.75463188,0.73121236,0.72471118,0.71853804,0.71189387,0.70357446,0.69453312,0.68745853,0.67889553,0.67191559,0.148860897,-0.042147494
0.66809025,-0.3484787,0.70714705,-0.4052822,0.78537156,-0.4238085,0.68875599,-0.3590229,0.72828412,-0.4134466,0.79623238,-0.45281,0.72880678,-0.3543051,0.78247303,-0.4305836,0.75338706,-0.4347053,0.97196698,-0.574374,1,-0.4718021,1,0.22791994,0.98504818,0.22361021,0.97829633,0.22127358,0.96777756,0.21754974,0.97724688,0.21443507,0.83473508,0.18701465,0.82092284,0.18360331,0.79090975,0.17559104,0.77555974,0.1719504,0.76394595,0.16818496,0.75038977,0.16489199,0.73859521,0.16117311,0.72634898,0.15818968,0.71430086,0.15462234,0.70337301,0.15181175,0.69144869,0.14844895,0.948300965,0.901621826,0.909376104,0.827982331,0.858949068,0.89254787,0.794911265,0.829588652,0.866115475,0.89672287,0.99842075,0.87070524,1,0.79448228,0.99530395,0.77100001,0.75531018,0.73227403,0.72542505,0.71871068,0.71190148,0.70389785,0.6959991,0.69001927,0.68196529,0.67521354,0.103773887,-0.011483199
0.6676967,-0.3483516,0.70662631,-0.4051302,0.78459294,-0.4237554,0.68806305,-0.3591314,0.72760772,-0.4136705,0.79530303,-0.4527701,0.72802639,-0.3544247,0.78158921,-0.4302271,0.75257299,-0.4336146,0.97122404,-0.5728004,1,-0.4704696,1,0.22791971,0.98496598,0.22360751,0.97809132,0.22127138,0.96744478,0.21754557,0.97677493,0.21443288,0.83417461,0.18704764,0.82009495,0.18358035,0.78916814,0.1753056,0.77348137,0.1715357,0.76143325,0.16763011,0.74764976,0.16423611,0.73542038,0.16038895,0.72300726,0.15733124,0.71052233,0.15370447,0.69947768,0.15078147,0.68711005,0.14737707,0.948474686,0.90172492,0.9095037,0.828045708,0.859087107,0.89281004,0.794908498,0.829627384,0.866139569,0.896524779,0.99883139,0.87062811,1,0.7934816,0.99402357,0.76969684,0.75399823,0.73190578,0.72543673,0.71889328,0.71183443,0.7034029,0.69474078,0.68813118,0.67991307,0.67305081,0.171503708,-0.009627944
0.66646477,-0.3475659,0.70529835,-0.4049436,0.78269833,-0.4226876,0.68695901,-0.3586823,0.72592576,-0.4120905,0.79349334,-0.4508847,0.72674169,-0.3527462,0.78034797,-0.4278737,0.75262892,-0.4317937,0.97093747,-0.5698685,1,-0.4695629,1,0.22787711,0.9855811,0.2237396,0.97950208,0.22161142,0.9697,0.21807998,0.97991257,0.21516451,0.83735457,0.18792754,0.82345855,0.18452582,0.79183747,0.1761275,0.77571375,0.17224698,0.76355969,0.16828772,0.74948343,0.16480183,0.73717339,0.16090942,0.72451971,0.15777757,0.71196061,0.1540852,0.70085653,0.15112913,0.68827192,0.14766998,0.947837571,0.9013246,0.909159586,0.828047102,0.859013972,0.892447296,0.794687877,0.82929053,0.865613153,0.896529915,0.99825358,0.87042914,1,0.7925184,0.99450182,0.77023856,0.75437897,0.73174066,0.72555923,0.7195199,0.71277501,0.70428959,0.69507082,0.68795695,0.67949857,0.67261909,0.180548942,-0.042327848
0.66460451,-0.3463028,0.70342705,-0.4043391,0.78030478,-0.4206418,0.68592332,-0.3573459,0.72373955,-0.4088743,0.79129935,-0.447363,0.72532757,-0.3499822,0.77915292,-0.4242891,0.75347929,-0.4298987,0.97122416,-0.5673083,1,-0.4701418,1,0.22781207,0.98659807,0.22394568,0.9818298,0.22212757,0.97342779,0.21892249,0.98511111,0.21626586,0.84268284,0.18923084,0.82929031,0.18596487,0.79709994,0.17752178,0.78048896,0.1735455,0.76840817,0.16957813,0.7540212,0.16600923,0.74183299,0.16211562,0.72892159,0.15891351,0.71649826,0.15515552,0.70539868,0.15220883,0.69272573,0.14869191,0.946575469,0.900502524,0.908410182,0.827919867,0.858672914,0.891509468,0.794374486,0.828662602,0.864661122,0.896659596,0.99681596,0.87015615,1,0.79192953,0.99676221,0.77224527,0.75625862,0.73172259,0.72546392,0.71995537,0.7139188,0.70573901,0.69620181,0.6887458,0.68000132,0.67315873,0.104243114,-0.092855454
0.66762279,-0.3478843,0.70659299,-0.404834,0.78460432,-0.4231786,0.68814179,-0.3585994,0.72752282,-0.4128492,0.79541608,-0.4520818,0.72808146,-0.3536432,0.78174818,-0.4296327,0.75297816,-0.4335412,0.97156649,-0.5726701,1,-0.4702768,1,0.22791088,0.98513303,0.22363651,0.97848251,0.22134505,0.96807216,0.21765951,0.97766587,0.21459053,0.8351128,0.18720499,0.82132346,0.1838057,0.79122304,0.17573039,0.77582022,0.17204435,0.7641807,0.16824193,0.75059243,0.16491246,0.7387558,0.16116006,0.72648931,0.15815051,0.71439516,0.15456204,0.70349088,0.15172483,0.69148606,0.14834732,0.948325659,0.901669231,0.909418173,0.828050083,0.859035976,0.892652041,0.794861667,0.829567383,0.866075572,0.896578846,0.99844959,0.87044146,1,0.7937624,0.99470321,0.7704537,0.75492293,0.73302671,0.72666642,0.7202252,0.71331344,0.70504225,0.69667369,0.69039859,0.68240028,0.67572832,0.14323915,-0.01746862
0.66648055,-0.3472751,0.70541966,-0.4049767,0.78289398,-0.4223056,0.68730721,-0.3583662,0.7260174,-0.4112794,0.79385243,-0.450225,0.72704873,-0.3520304,0.78079064,-0.427225,0.75345667,-0.4319223,0.97160276,-0.569956,1,-0.4696657,1,0.22785995,0.9858898,0.22379607,0.98021879,0.22175126,0.97085127,0.21830726,0.98154123,0.21546235,0.83910494,0.18824158,0.82561957,0.18494463,0.79499145,0.17685846,0.77915876,0.17310948,0.76756373,0.16932336,0.75366742,0.16593481,0.74191445,0.16220067,0.72937227,0.15913593,0.71736977,0.15549339,0.70638674,0.15267818,0.69430497,0.14924953,0.947487827,0.901134244,0.908950529,0.828014403,0.858885679,0.892114748,0.794597759,0.829126741,0.865429727,0.896531045,0.9978069,0.8702762,1,0.79329362,0.99573544,0.77151816,0.75573476,0.73205631,0.72552498,0.71951975,0.71328053,0.70543236,0.69715477,0.69063294,0.68221551,0.67537828,0.129198408,-0.056834883
0.66635194,-0.3473725,0.70528166,-0.4050505,0.78269152,-0.4223624,0.68718592,-0.3584629,0.72590837,-0.4113172,0.7936522,-0.4502017,0.72696372,-0.3520971,0.7806746,-0.4272034,0.75340545,-0.4318743,0.97150925,-0.5699374,1,-0.4699719,1,0.22785871,0.9859082,0.22379931,0.98026148,0.22175996,0.97091926,0.21832142,0.98162303,0.21548147,0.83917463,0.1882772,0.82559676,0.18495699,0.79450587,0.17676294,0.77849156,0.17296198,0.76669657,0.16912043,0.75268201,0.1656918,0.74074195,0.16190768,0.72811221,0.15881275,0.71592559,0.15514597,0.70487963,0.15228622,0.6926094,0.14883976,0.947426211,0.901073467,0.908910724,0.827998264,0.858868983,0.892081277,0.794607487,0.829101434,0.86536554,0.896559277,0.99774649,0.87031891,1,0.79315333,0.99577821,0.77144529,0.75557043,0.73161218,0.72503173,0.71903083,0.71279026,0.7048904,0.6964207,0.68968857,0.68114723,0.67421585,0.126911943,-0.057716438
0.66500528,-0.3466493,0.70370077,-0.4047332,0.7804482,-0.4214295,0.68569657,-0.3580982,0.72379494,-0.4101615,0.79128605,-0.4485155,0.7250702,-0.3507722,0.77880706,-0.4249474,0.75273225,-0.4296845,0.97072021,-0.5664853,1,-0.4689134,1,0.22782272,0.9863508,0.22390958,0.98124863,0.22204137,0.97249122,0.21878365,0.98382323,0.21608331,0.84135044,0.18901906,0.8277943,0.18573361,0.79567441,0.17730243,0.77913281,0.17333929,0.7670365,0.16937814,0.75267051,0.16581746,0.74044549,0.16192759,0.72753783,0.15873124,0.71506877,0.1549775,0.70392771,0.15203114,0.6912474,0.14851749,0.946993056,0.900780686,0.908676674,0.827977958,0.858847899,0.891916525,0.794304825,0.828814236,0.86495511,0.896512412,0.99778305,0.87040906,1,0.79132519,0.99503644,0.7707882,0.75467278,0.73104179,0.72524981,0.72010676,0.71415938,0.70596393,0.69647127,0.68874556,0.679874,0.67287718,0.199908039,-0.082887893
